Age,Gender,Country,state,self_employed,family_history,work_interfere,no_employees,remote_work,tech_company,benefits,care_options,wellness_program,seek_help,anonymity,leave,mental_health_consequence,phys_health_consequence,coworkers,supervisor,mental_health_interview,phys_health_interview,mental_vs_physical,obs_consequence,treatment
37,Female,United States,IL,NA,No,Often,6to26,No,Yes,Yes,Not sure,No,Yes,Yes,Somewhat easy,No,No,Some of them,Yes,No,Maybe,Yes,No,1
44,Male,United States,IN,NA,No,Rarely,MoreThan1000,No,No,NA,No,NA,NA,NA,NA,Maybe,No,No,No,No,No,NA,No,0
32,Male,Canada,NA,NA,No,Rarely,6to26,No,Yes,No,No,No,No,NA,Somewhat difficult,No,No,Yes,Yes,Yes,Yes,No,No,0
31,Male,United Kingdom,NA,NA,Yes,Often,26to100,No,Yes,No,Yes,No,No,No,Somewhat difficult,Yes,Yes,Some of them,No,Maybe,Maybe,No,Yes,1
31,Male,United States,TX,NA,No,Never,100to500,Yes,Yes,Yes,No,NA,NA,NA,NA,No,No,Some of them,Yes,Yes,Yes,NA,No,0
33,Male,United States,TN,NA,Yes,Sometimes,6to26,No,Yes,Yes,Not sure,No,NA,NA,NA,No,No,Yes,Yes,No,Maybe,NA,No,0
35,Female,United States,MI,NA,Yes,Sometimes,1to5,Yes,Yes,No,No,No,No,No,Somewhat difficult,Maybe,Maybe,Some of them,No,No,No,NA,No,1
39,Male,Canada,NA,NA,No,Never,1to5,Yes,Yes,No,Yes,No,No,Yes,NA,No,No,No,No,No,No,No,No,0
42,Female,United States,IL,NA,Yes,Sometimes,100to500,No,Yes,Yes,Yes,No,No,No,Very difficult,Maybe,No,Yes,Yes,No,Maybe,No,No,1
23,Male,Canada,NA,NA,No,Never,26to100,No,Yes,NA,No,NA,NA,NA,NA,No,No,Yes,Yes,Maybe,Maybe,Yes,No,0
31,Male,United States,OH,NA,No,Sometimes,6to26,Yes,Yes,NA,No,No,No,NA,NA,No,No,Some of them,Yes,No,No,NA,No,1
29,Male,Bulgaria,NA,NA,No,Never,100to500,Yes,Yes,NA,Not sure,No,No,NA,NA,No,No,Yes,Yes,Yes,Yes,NA,No,0
42,Female,United States,CA,NA,Yes,Sometimes,26to100,No,No,Yes,Yes,No,No,NA,Somewhat difficult,Yes,Yes,Yes,Yes,Maybe,Maybe,No,Yes,1
36,Male,United States,CT,NA,Yes,Never,500to1000,No,Yes,NA,Not sure,No,NA,NA,NA,No,No,Yes,Yes,No,No,NA,No,0
27,Male,Canada,NA,NA,No,Never,6to26,No,Yes,NA,Not sure,NA,NA,NA,Somewhat easy,No,No,Some of them,Some of them,Maybe,Yes,Yes,No,0
29,Female,United States,IL,NA,Yes,Rarely,26to100,No,Yes,Yes,Not sure,No,No,NA,Somewhat easy,No,No,Yes,Some of them,Maybe,Maybe,NA,No,1
23,Male,United Kingdom,NA,NA,No,Sometimes,26to100,Yes,Yes,NA,No,NA,NA,NA,Very easy,Maybe,No,Some of them,No,Maybe,Maybe,No,No,1
32,Male,United States,TN,NA,No,Sometimes,6to26,No,Yes,Yes,Yes,No,NA,NA,NA,Maybe,No,Some of them,Yes,No,No,No,No,1
46,Male,United States,MD,Yes,Yes,Sometimes,1to5,Yes,Yes,Yes,Not sure,Yes,NA,Yes,Very easy,No,No,Yes,Yes,No,Yes,Yes,Yes,0
36,Male,France,NA,Yes,Yes,NA,6to26,Yes,Yes,No,No,Yes,No,Yes,Somewhat easy,No,No,Some of them,Some of them,Maybe,Maybe,NA,No,0
29,Male,United States,NY,No,Yes,Sometimes,100to500,No,Yes,Yes,Yes,No,No,No,Somewhat difficult,Maybe,No,Some of them,Some of them,No,No,No,No,1
31,Male,United States,NC,Yes,No,Never,1to5,Yes,Yes,No,No,No,No,Yes,Somewhat difficult,No,No,Some of them,Some of them,No,Maybe,Yes,No,0
46,Male,United States,MA,No,No,Often,26to100,Yes,Yes,Yes,Yes,No,No,NA,NA,Maybe,No,Some of them,Yes,No,Maybe,No,No,1
41,Male,United States,IA,No,No,Never,MoreThan1000,No,No,NA,No,No,NA,NA,NA,Maybe,No,No,No,No,Yes,NA,No,1
33,Male,United States,CA,No,Yes,Rarely,26to100,No,Yes,Yes,Not sure,NA,Yes,Yes,NA,No,No,Yes,Yes,No,Yes,NA,No,1
35,Male,United States,TN,No,Yes,Sometimes,MoreThan1000,No,No,Yes,Yes,No,NA,No,Very easy,Yes,No,Some of them,Yes,No,Yes,No,No,1
33,Male,United States,TN,No,No,NA,1to5,No,Yes,NA,Not sure,No,NA,NA,NA,Maybe,Maybe,Some of them,No,No,No,NA,No,0
35,Female,United States,CA,No,Yes,Rarely,6to26,Yes,Yes,Yes,Yes,NA,NA,NA,NA,No,No,Yes,Yes,Maybe,Maybe,Yes,No,1
34,Male,United States,OH,No,No,Sometimes,26to100,Yes,Yes,NA,Not sure,No,NA,NA,Somewhat difficult,No,No,Some of them,No,No,No,No,No,1
37,Male,United Kingdom,NA,No,No,Sometimes,6to26,No,Yes,No,No,No,No,NA,Very difficult,Yes,Maybe,Some of them,No,No,Maybe,No,No,0
32,Male,United Kingdom,NA,No,No,Never,6to26,Yes,Yes,No,No,No,No,NA,NA,Yes,Yes,Some of them,Some of them,No,Maybe,No,No,0
31,Male,United States,PA,Yes,Yes,Rarely,1to5,Yes,Yes,No,Yes,No,No,NA,Somewhat difficult,Yes,No,No,No,No,No,No,Yes,0
30,Male,United Kingdom,NA,No,Yes,Sometimes,500to1000,Yes,Yes,NA,No,No,No,Yes,Somewhat easy,Maybe,No,Some of them,Yes,No,Yes,NA,No,1
42,Male,United States,WA,No,Yes,Sometimes,26to100,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Very easy,Maybe,No,Some of them,Some of them,Maybe,Yes,NA,No,1
40,Female,United States,WI,No,No,Sometimes,1to5,No,Yes,Yes,Yes,No,No,NA,NA,Maybe,No,Some of them,No,No,Maybe,Yes,No,1
27,Male,United States,NY,No,No,Rarely,6to26,No,Yes,No,Yes,No,No,NA,Very easy,No,No,Yes,Yes,Maybe,Maybe,NA,No,1
29,Male,Canada,NA,No,No,Rarely,1to5,No,Yes,No,No,No,No,NA,Very easy,Yes,Maybe,Some of them,No,No,No,NA,No,0
38,Male,Portugal,NA,No,No,NA,100to500,No,Yes,No,Yes,No,No,NA,Somewhat easy,Maybe,No,Some of them,Some of them,No,Maybe,No,No,0
50,Male,United States,IN,No,No,NA,100to500,No,Yes,Yes,Yes,No,NA,NA,NA,No,No,Some of them,Yes,No,Maybe,NA,No,0
35,Male,United States,TX,No,No,Rarely,MoreThan1000,Yes,Yes,Yes,Yes,No,Yes,Yes,Very easy,No,No,Yes,Yes,Maybe,Maybe,Yes,No,1
24,Male,United Kingdom,NA,No,No,Sometimes,6to26,No,Yes,No,No,No,No,NA,NA,Maybe,Maybe,Some of them,No,No,Yes,No,Yes,1
35,Male,United States,MI,No,No,NA,MoreThan1000,Yes,Yes,Yes,Not sure,NA,Yes,NA,Somewhat difficult,Yes,Yes,Some of them,No,No,Maybe,NA,No,0
27,Male,Canada,NA,No,Yes,Sometimes,1to5,No,Yes,No,Yes,No,No,Yes,Very difficult,Maybe,No,Some of them,No,No,No,Yes,No,1
18,Male,Netherlands,NA,No,No,Often,6to26,No,Yes,No,Not sure,No,No,NA,Somewhat difficult,Yes,Maybe,No,Some of them,No,No,No,No,0
30,Male,United States,IN,No,No,Sometimes,26to100,No,Yes,NA,No,No,No,NA,NA,No,No,No,No,No,Maybe,NA,No,1
